id,title,is_flower,colour,hex
Rose,Rose,true,red,#e41a1c
Abney Park Cemetery,Abney Park Cemetery,false,nonflower,#555555
Achene,Achene,false,nonflower,#555555
Adonis,Adonis,false,nonflower,#555555
ADR rose,ADR rose,true,unknown,#8dd3c7
Aeolic Greek,Aeolic Greek,false,nonflower,#555555
Aerial stem modification,Aerial stem modification,false,nonflower,#555555
Aggregate fruit,Aggregate fruit,false,nonflower,#555555
Alabama,Alabama,false,nonflower,#555555
Alaska,Alaska,false,nonflower,#555555
Albrecht Dürer,Albrecht Dürer,false,nonflower,#555555
Alcohol (chemistry),Alcohol (chemistry),false,nonflower,#555555
Alister Clark Memorial Rose Garden,Alister Clark Memorial Rose Garden,false,nonflower,#555555
Alkane,Alkane,false,nonflower,#555555
All-America Rose Selections,All-America Rose Selections,false,nonflower,#555555
All-American Rose Garden,All-American Rose Garden,false,nonflower,#555555
Alternaria,Alternaria,false,nonflower,#555555
"America (My Country, 'Tis of Thee)","America (My Country, 'Tis of Thee)",false,nonflower,#555555
America the Beautiful,America the Beautiful,false,nonflower,#555555
American bison,American bison,false,nonflower,#555555
American Creed,American Creed,false,nonflower,#555555
American Garden Rose Selections,American Garden Rose Selections,false,nonflower,#555555
American Samoa,American Samoa,false,nonflower,#555555
Anchors Aweigh,Anchors Aweigh,false,nonflower,#555555
Ancient Greece,Ancient Greece,false,nonflower,#555555
Annuit cœptis,Annuit cœptis,false,nonflower,#555555
Aphrodite,Aphrodite,false,nonflower,#555555
Apollo,Apollo,false,nonflower,#555555
Apuleius,Apuleius,false,nonflower,#555555
Aquilegia coerulea,Aquilegia coerulea,true,blue,#1f77d4
Arabia,Arabia,false,nonflower,#555555
Arachnid,Arachnid,false,nonflower,#555555
Argyranthemum,Argyranthemum,true,unknown,#8dd3c7
Arizona,Arizona,false,nonflower,#555555
Arkansas,Arkansas,false,nonflower,#555555
Aromantic,Aromantic,false,nonflower,#555555
Artemis,Artemis,false,nonflower,#555555
Artemisia tridentata,Artemisia tridentata,false,nonflower,#555555
Asclepias,Asclepias,true,unknown,#8dd3c7
Australian National Botanic Gardens,Australian National Botanic Gardens,false,nonflower,#555555
Australian Plant Name Index,Australian Plant Name Index,false,nonflower,#555555
Avalokiteśvara as Guide of Souls,Avalokiteśvara as Guide of Souls,false,nonflower,#555555
Avestan language,Avestan language,false,nonflower,#555555
Azalea,Azalea,true,unknown,#8dd3c7
Ba-ra-kei: Ordeal by Roses,Ba-ra-kei: Ordeal by Roses,false,nonflower,#555555
Baklava,Baklava,false,nonflower,#555555
Bald eagle,Bald eagle,false,nonflower,#555555
Bamboo,Bamboo,false,nonflower,#555555
Bara (genre),Bara (genre),false,nonflower,#555555
Barazoku,Barazoku,false,nonflower,#555555
Barcode of Life Data System,Barcode of Life Data System,false,nonflower,#555555
Barfi,Barfi,false,nonflower,#555555
Barthélemy Charles Joseph Dumortier,Barthélemy Charles Joseph Dumortier,false,nonflower,#555555
Battle Cry of Freedom,Battle Cry of Freedom,false,nonflower,#555555
Battle Hymn of the Republic,Battle Hymn of the Republic,false,nonflower,#555555
Beirut Rose,Beirut Rose,true,pink,#ff7fbf
Berkeley Rose Garden,Berkeley Rose Garden,false,nonflower,#555555
Bibcode (identifier),Bibcode (identifier),false,nonflower,#555555
Biological type,Biological type,false,nonflower,#555555
Bitterroot,Bitterroot,true,unknown,#8dd3c7
Black rose symbolism,Black rose symbolism,true,unknown,#8dd3c7
