id,title,is_flower,colour,confidence,seed
Rose,Rose,True,red,1.0,True
ADR rose,ADR rose,True,unknown_color,0.46,False
Abney Park Cemetery,Abney Park Cemetery,False,not_flower,1,False
Achene,Achene,False,not_flower,0.99,False
Adonis,Adonis,False,not_flower,0.98,False
Aeolic Greek,Aeolic Greek,False,not_flower,1,False
Aerial stem modification,Aerial stem modification,False,not_flower,1,False
Aggregate fruit,Aggregate fruit,False,not_flower,1,False
Alabama,Alabama,False,not_flower,1,False
Alaska,Alaska,False,not_flower,1,False
Albrecht Dürer,Albrecht Dürer,False,not_flower,1,False
Alcohol (chemistry),Alcohol (chemistry),False,not_flower,1,False
Alister Clark Memorial Rose Garden,Alister Clark Memorial Rose Garden,False,not_flower,0.78,False
Alkane,Alkane,False,not_flower,1,False
All-America Rose Selections,All-America Rose Selections,False,not_flower,0.74,False
All-American Rose Garden,All-American Rose Garden,False,not_flower,0.75,False
Alternaria,Alternaria,False,not_flower,1,False
"America (My Country, 'Tis of Thee)","America (My Country, 'Tis of Thee)",False,not_flower,0.98,False
America the Beautiful,America the Beautiful,False,not_flower,1,False
American Creed,American Creed,False,not_flower,1,False
American Garden Rose Selections,American Garden Rose Selections,False,not_flower,0.67,False
American Samoa,American Samoa,False,not_flower,1,False
American bison,American bison,False,not_flower,1,False
Anchors Aweigh,Anchors Aweigh,False,not_flower,1,False
Ancient Greece,Ancient Greece,False,not_flower,1,False
Annuit cœptis,Annuit cœptis,False,not_flower,1,False
Aphrodite,Aphrodite,False,not_flower,1,False
Apollo,Apollo,False,not_flower,0.99,False
Apuleius,Apuleius,False,not_flower,1,False
Aquilegia coerulea,Aquilegia coerulea,True,blue,0.98,False
Arabia,Arabia,False,not_flower,0.98,False
Arachnid,Arachnid,False,not_flower,1,False
Argyranthemum,Argyranthemum,True,white,0.6,False
Arizona,Arizona,False,not_flower,1,False
Arkansas,Arkansas,False,not_flower,1,False
Aromantic,Aromantic,False,not_flower,0.98,False
Artemis,Artemis,False,not_flower,1,False
Artemisia tridentata,Artemisia tridentata,False,not_flower,0.82,False
Asclepias,Asclepias,True,unknown_color,0.38,False
Australian National Botanic Gardens,Australian National Botanic Gardens,False,not_flower,1,False
Australian Plant Name Index,Australian Plant Name Index,False,not_flower,1,False
Avalokiteśvara as Guide of Souls,Avalokiteśvara as Guide of Souls,False,not_flower,1,False
Avestan language,Avestan language,False,not_flower,1,False
Azalea,Azalea,True,mixed,0.44,False
Ba-ra-kei: Ordeal by Roses,Ba-ra-kei: Ordeal by Roses,False,not_flower,0.44,False
Baklava,Baklava,False,not_flower,1,False
Bald eagle,Bald eagle,False,not_flower,1,False
Bamboo,Bamboo,False,not_flower,0.99,False
Bara (genre),Bara (genre),False,not_flower,0.99,False
Barazoku,Barazoku,False,not_flower,0.97,False
Barcode of Life Data System,Barcode of Life Data System,False,not_flower,1,False
Barfi,Barfi,False,not_flower,0.99,False
Barthélemy Charles Joseph Dumortier,Barthélemy Charles Joseph Dumortier,False,not_flower,1,False
Battle Cry of Freedom,Battle Cry of Freedom,False,not_flower,1,False
Battle Hymn of the Republic,Battle Hymn of the Republic,False,not_flower,1,False
Beirut Rose,Beirut Rose,True,pink,1,False
Berkeley Rose Garden,Berkeley Rose Garden,False,not_flower,0.97,False
Bibcode (identifier),Bibcode (identifier),False,not_flower,0.99,False
Biological type,Biological type,False,not_flower,0.9,False
Bitterroot,Bitterroot,True,pink,0.35,False
Black rose symbolism,Black rose symbolism,True,unknown_color,0.69,False
Blue rose,Blue rose,True,blue,0.98,False
Bluebonnet (plant),Bluebonnet (plant),True,blue,0.96,False
Bougainvillea spectabilis,Bougainvillea spectabilis,True,unknown_color,0.27,False
Bradford Angier,Bradford Angier,False,not_flower,1,False
Browsing (herbivory),Browsing (herbivory),False,not_flower,1,False
California,California,False,not_flower,1,False
Calochortus nuttallii,Calochortus nuttallii,True,white,0.36,False
Cambrian,Cambrian,False,not_flower,1,False
Camellia japonica,Camellia japonica,True,mixed,0.64,False
Carboniferous,Carboniferous,False,not_flower,1,False
Carl Linnaeus,Carl Linnaeus,False,not_flower,1,False
Carthusians,Carthusians,False,not_flower,1,False
Castilleja linariifolia,Castilleja linariifolia,True,red,0.42,False
Catalogue of Life,Catalogue of Life,False,not_flower,1,False
Christianization of the Roman empire,Christianization of the Roman empire,False,not_flower,1,False
Château de Bagatelle,Château de Bagatelle,False,not_flower,1,False
Château de Malmaison,Château de Malmaison,False,not_flower,0.99,False
Citronellol,Citronellol,False,not_flower,1,False
Claude Monet,Claude Monet,False,not_flower,1,False
Coast,Coast,False,not_flower,1,False
Coat of arms of Saint Lucia,Coat of arms of Saint Lucia,False,not_flower,1,False
Codex Manesse,Codex Manesse,False,not_flower,1,False
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,False,not_flower,1,False
Colorado,Colorado,False,not_flower,1,False
Columbia (personification),Columbia (personification),False,not_flower,1,False
"Columbia, the Gem of the Ocean","Columbia, the Gem of the Ocean",False,not_flower,1,False
Common sunflower,Common sunflower,True,yellow,0.99,False
Compound leaves,Compound leaves,False,not_flower,1,False
Concours international de roses nouvelles de Bagatelle,Concours international de roses nouvelles de Bagatelle,False,not_flower,0.8,False
Connecticut,Connecticut,False,not_flower,1,False
Conquista rose,Conquista rose,True,pink,1,False
Coreopsis,Coreopsis,True,yellow,0.87,False
Cornus florida,Cornus florida,True,white,0.6,False
Crataegus,Crataegus,False,not_flower,0.6,False
Crescentia cujete,Crescentia cujete,False,not_flower,0.73,False
Cretaceous,Cretaceous,False,not_flower,1,False
Cultivar,Cultivar,False,not_flower,0.8,False
Cut flowers,Cut flowers,False,not_flower,0.44,False
Cutting (plant),Cutting (plant),False,not_flower,1,False
Cypripedium acaule,Cypripedium acaule,True,pink,0.98,False
Cypripedium reginae,Cypripedium reginae,True,pink,0.93,False
DNA repair,DNA repair,False,not_flower,1,False
Damascenone,Damascenone,False,not_flower,0.99,False
Deciduous,Deciduous,False,not_flower,1,False
Deer,Deer,False,not_flower,1,False
Delaware,Delaware,False,not_flower,1,False
Devonian,Devonian,False,not_flower,1,False
Dianthus caryophyllus,Dianthus caryophyllus,True,mixed,0.51,False
Diarrhodon,Diarrhodon,False,not_flower,0.98,False
Dictionary of Greek and Roman Biography and Mythology,Dictionary of Greek and Roman Biography and Mythology,False,not_flower,1,False
Diplocarpon rosae,Diplocarpon rosae,False,not_flower,1,False
Dixie (song),Dixie (song),False,not_flower,1,False
Dog rose,Dog rose,True,pink,0.91,False
Doi (identifier),Doi (identifier),False,not_flower,0.99,False
Double-flowered,Double-flowered,True,unknown_color,0.95,False
Dune,Dune,False,not_flower,1,False
E pluribus unum,E pluribus unum,False,not_flower,1,False
EPPO Code,EPPO Code,False,not_flower,1,False
Echinacea tennesseensis,Echinacea tennesseensis,True,purple,0.99,False
Eikoh Hosoe,Eikoh Hosoe,False,not_flower,1,False
